participant;IP;task;SS;SL;SP;DS;DL;DP;taskname
9;162.200.146.157;SSDL;0;0;0;0;1;0;SA3_Rep3
9;162.200.146.157;SSDP;0;0;0;0;0;1;SA4
9;162.200.146.157;SSDP;0;0;0;0;0;1;SA4_Rep2
9;162.200.146.157;SSDP;0;0;0;0;0;1;SA4_Rep3
9;162.200.146.157;SLDP;0;0;0;0;0;1;SA5
9;162.200.146.157;SLDP;0;0;0;0;0;1;SA5_Rep2
9;162.200.146.157;SLDP;0;0;0;0;0;1;SA5_Rep3
9;162.200.146.157;SPDL;0;0;0;0;1;0;SA6
9;162.200.146.157;SPDL;0;0;0;0;1;0;SA6_Rep2
9;162.200.146.157;SPDL;0;0;0;0;1;0;SA6_Rep3
9;162.200.146.157;SLSS;0;1;0;0;0;0;SA7
9;162.200.146.157;SLSS;1;0;0;0;0;0;SA7_Rep2
9;162.200.146.157;SLSS;0;1;0;0;0;0;SA7_Rep3
9;162.200.146.157;SPSL;0;0;1;0;0;0;SA8
9;162.200.146.157;SPSL;0;0;1;0;0;0;SA8_Rep2
9;162.200.146.157;SPSL;0;0;1;0;0;0;SA8_Rep3
9;162.200.146.157;SPDS;0;0;0;1;0;0;SA9
9;162.200.146.157;SPDS;0;0;0;1;0;0;SA9_Rep2
9;162.200.146.157;SPDS;0;0;0;1;0;0;SA9_Rep3
9;162.200.146.157;SSSP;1;0;0;0;0;0;SA10
9;162.200.146.157;SSSP;0;0;1;0;0;0;SA10_Rep2
9;162.200.146.157;SSSP;0;0;1;0;0;0;SA10_Rep3
9;162.200.146.157;SLDS;0;0;0;1;0;0;SA11
9;162.200.146.157;SLDS;0;0;0;1;0;0;SA11_Rep2
9;162.200.146.157;SLDS;0;0;0;1;0;0;SA11_Rep3
9;162.200.146.157;DPDS;0;0;0;1;0;0;SA12
9;162.200.146.157;DPDS;0;0;0;0;0;1;SA12_Rep2
9;162.200.146.157;DPDS;0;0;0;1;0;0;SA12_Rep3
9;162.200.146.157;DLDS;0;0;0;1;0;0;SA13
9;162.200.146.157;DLDS;0;0;0;1;0;0;SA13_Rep2
9;162.200.146.157;DLDS;0;0;0;1;0;0;SA13_Rep3
10;67.190.251.95;DPDL;0;0;0;0;1;0;SA2
10;67.190.251.95;DPDL;0;0;0;0;0;1;SA2_Rep2
10;67.190.251.95;DPDL;0;0;0;0;0;1;SA2_Rep3
10;67.190.251.95;SSDL;0;0;0;0;1;0;SA3
10;67.190.251.95;SSDL;0;0;0;0;1;0;SA3_Rep2
10;67.190.251.95;SSDL;0;0;0;0;1;0;SA3_Rep3
10;67.190.251.95;SSDP;0;0;0;0;0;1;SA4
10;67.190.251.95;SSDP;0;0;0;0;0;1;SA4_Rep2
10;67.190.251.95;SSDP;1;0;0;0;0;0;SA4_Rep3
10;67.190.251.95;SLDP;0;1;0;0;0;0;SA5
10;67.190.251.95;SLDP;0;1;0;0;0;0;SA5_Rep2
10;67.190.251.95;SLDP;0;1;0;0;0;0;SA5_Rep3
10;67.190.251.95;SPDL;0;0;0;0;1;0;SA6
10;67.190.251.95;SPDL;0;0;0;0;1;0;SA6_Rep2
10;67.190.251.95;SPDL;0;0;0;0;1;0;SA6_Rep3
